№ чека;Дата;Время;Товар;Кол-во;Сумма;Способ платежа (нал / безнал);Покупатель;Себестоимость закупки
100000170;7-29-2016;0,676770833;Ремень тип 2, Adidas;1;325.95;безналичные;ФИО 318;159
100000170;7-29-2016;0,676770833;Колготки тип 7, Adidas;1;789.0696;безналичные;ФИО 318;369
100000170;7-29-2016;0,676770833;Запонка тип 6, Reebok;1;413.27;безналичные;ФИО 318;221
100000204;3-14-2016;0,75193287;Рубашка тип 8, Nike;2;2181.57168;безналичные;;1084
100000232;6-7-2017;0,462372685;Запонка тип 4, Reebok;1;821.24;наличные;;419
100000232;6-7-2017;0,462372685;Штаны тип 7, Puma;1;482.232;наличные;;283
100000239;4-30-2017;0,520763889;Сапоги тип 6, Nike;1;4648.06608;наличные;;2279
100000239;4-30-2017;0,520763889;Кроссовки тип 6, Nike;1;4035.2232;наличные;;1923
100000245;11-23-2017;0,68037037;Футболка тип 1, Reebok;1;309.68;наличные;;158
100000248;7-12-2018;0,844780093;Футболка тип 3, Nike;1;492.2;наличные;ФИО 421;230
100000248;7-12-2018;0,844780093;Футболка тип 1, Reebok;1;309.68;наличные;ФИО 421;158
100000256;12-28-2017;0,474293981;Шлёпки тип 1, Adidas;1;391.95;наличные;;195
100000256;12-28-2017;0,474293981;Мячик тип 2, Nike;1;69.4046;наличные;;37
100000256;12-28-2017;0,474293981;Шапка тип 8, Adidas;1;326.8;наличные;;152
100000270;5-12-2018;0,648344907;Ремень тип 1, Adidas;1;637.29;безналичные;;291
100000272;5-5-2018;0,613206019;Сапоги тип 5, Nike;1;8007.18;наличные;;3543
100000272;5-5-2018;0,613206019;Штаны тип 7, Nike;1;2510.49936;наличные;;1299
100000274;7-30-2016;0,484930556;Ремень тип 2, Reebok;2;829.0612;безналичные;;418
100000275;7-21-2018;0,448668981;Запонка тип 1, Reebok;1;767.97;наличные;;371
100000276;6-16-2017;0,701828704;Штаны тип 3, Nike;1;1505.79744;наличные;ФИО 1129;714
100000276;6-16-2017;0,701828704;Мячик тип 1, Reebok;2;187.48;наличные;ФИО 1129;86
100000276;6-16-2017;0,701828704;Запонка тип 4, Puma;1;788.04;наличные;ФИО 1129;495
100000301;7-20-2016;0,43693287;Запонка тип 4, Puma;1;654.0732;наличные;;495
100000307;9-23-2016;0,687094907;Рубашка тип 8, Puma;1;475.2;безналичные;;264
100000307;9-23-2016;0,687094907;Кепка тип 1, Nike;1;455.168;безналичные;;224
100000307;9-23-2016;0,687094907;Сапоги тип 2, Adidas;1;6783.45;безналичные;;3309
100000322;6-11-2017;0,773553241;Запонка тип 2, Puma;1;445.28;наличные;ФИО 1044;253
100000322;6-11-2017;0,773553241;Футболка тип 3, Adidas;1;623.28;наличные;ФИО 1044;318
100000322;6-11-2017;0,773553241;Кроссовки тип 3, Adidas;1;3241.26;наличные;ФИО 1044;1637
100000330;3-2-2016;0,481365741;Шапка тип 3, Reebok;1;516.12;безналичные;ФИО 62;253
100000330;3-2-2016;0,481365741;Кроссовки тип 1, Puma;1;2891.328;безналичные;ФИО 62;1628
100000330;3-2-2016;0,481365741;Шлёпки тип 1, Puma;1;247.6656;безналичные;ФИО 62;189
100000347;8-11-2018;0,745532407;Рубашка тип 2, Adidas;1;866.364;безналичные;;460
100000347;8-11-2018;0,745532407;Футболка тип 4, Puma;2;594.688;безналичные;;368
100000355;3-19-2016;0,861469907;Штаны тип 6, Adidas;1;1394.12;безналичные;ФИО 580;766
100000355;3-19-2016;0,861469907;Шапка тип 7, Nike;2;905.216;безналичные;ФИО 580;416
100000355;3-19-2016;0,861469907;Ремень тип 4, Nike;2;1069.9664;безналичные;ФИО 580;566
100000355;3-19-2016;0,861469907;Рубашка тип 11, Nike;1;1299.548;безналичные;ФИО 580;659
100000357;7-11-2018;0,393055556;Футболка тип 2, Puma;1;313.6;безналичные;ФИО 792;200
100000364;9-12-2016;0,404178241;Майка тип 2, Nike;1;794.563;безналичные;ФИО 855;385
100000364;9-12-2016;0,404178241;Футболка тип 6, Reebok;1;371.05;безналичные;ФИО 855;181
100000364;9-12-2016;0,404178241;Штаны тип 7, Puma;1;482.232;безналичные;ФИО 855;283
100000364;9-12-2016;0,404178241;Кроссовки тип 3, Reebok;1;2018.5844;безналичные;ФИО 855;1138
100000371;1-16-2017;0,678101852;Шапка тип 8, Nike;1;569.64;безналичные;ФИО 387;282
100000371;1-16-2017;0,678101852;Рубашка тип 10, Adidas;1;446.9;безналичные;ФИО 387;205
100000379;5-19-2017;0,744918981;Колготки тип 2, Reebok;1;415.8;наличные;;210
100000379;5-19-2017;0,744918981;Штаны тип 1, Adidas;1;1564.92;наличные;;828
100000379;5-19-2017;0,744918981;Ремень тип 4, Reebok;2;901.52;наличные;;472
100000401;5-30-2018;0,742511574;Кроссовки тип 3, Adidas;1;3241.26;безналичные;;1637
100000401;5-30-2018;0,742511574;Штаны тип 1, Puma;1;722.304;безналичные;;418
100000410;7-18-2018;0,50625;Штаны тип 11, Reebok;1;1816.84;наличные;;857
100000415;6-11-2018;0,505949074;Рубашка тип 8, Nike;1;1172.888;безналичные;;542
100000415;6-11-2018;0,505949074;Футболка тип 5, Adidas;1;627.21;безналичные;;303
100000442;1-10-2016;0,702465278;Ремень тип 2, Puma;1;206.59584;наличные;;146
100000442;1-10-2016;0,702465278;Колготки тип 7, Puma;2;1131.52;наличные;;640
100000444;4-28-2018;0,6153125;Шапка тип 4, Reebok;1;229.4;безналичные;ФИО 287;124
100000446;6-27-2018;0,602025463;Шапка тип 4, Reebok;1;229.4;наличные;ФИО 20;124
100000446;6-27-2018;0,602025463;Майка тип 3, Nike;1;535;наличные;ФИО 20;250
100000446;6-27-2018;0,602025463;Рубашка тип 11, Nike;1;1065.62936;наличные;ФИО 20;659
100000446;6-27-2018;0,602025463;Шапка тип 4, Adidas;1;562.8;наличные;ФИО 20;280
100000452;12-19-2017;0,6496875;Кроссовки тип 1, Nike;2;6468.48504;безналичные;;3774
100000454;10-19-2017;0,730277778;Шапка тип 2, Reebok;1;378.4;безналичные;;176
100000460;1-31-2017;0,626226852;Запонка тип 6, Puma;1;351.0912;наличные;;205
100000473;12-15-2016;0,6021875;Кроссовки тип 6, Puma;2;5154.944;наличные;;3128
100000482;4-21-2016;0,847962963;Туфли тип 4, Adidas;1;3224.502;наличные;;1698
100000482;4-21-2016;0,847962963;Штаны тип 2, Nike;1;1406.532;наличные;;597
100000495;11-25-2017;0,488622685;Штаны тип 12, Adidas;2;1676.0712;безналичные;;894
100000495;11-25-2017;0,488622685;Шапка тип 2, Reebok;1;378.4;безналичные;;176
100000495;11-25-2017;0,488622685;Рубашка тип 6, Reebok;1;699.6;безналичные;;330
100000499;4-5-2018;0,476203704;Ремень тип 2, Adidas;1;325.95;наличные;ФИО 1053;159
100000499;4-5-2018;0,476203704;Штаны тип 8, Puma;1;759.632;наличные;ФИО 1053;482
100000522;10-9-2017;0,7590625;Штаны тип 8, Nike;2;2688.82784;безналичные;ФИО 489;1486
100000522;10-9-2017;0,7590625;Штаны тип 3, Nike;1;1536.528;безналичные;ФИО 489;714
100000522;10-9-2017;0,7590625;Рубашка тип 5, Reebok;1;903.8484;безналичные;ФИО 489;534
100000522;10-9-2017;0,7590625;Кроссовки тип 6, Puma;1;2577.472;безналичные;ФИО 489;1564
100000522;10-9-2017;0,7590625;Кроссовки тип 2, Puma;2;3158.112;безналичные;ФИО 489;1964
100000522;10-9-2017;0,7590625;Штаны тип 10, Adidas;1;1137.96;безналичные;ФИО 489;580
100000524;2-6-2016;0,548912037;Сапоги тип 5, Puma;1;2273.648;безналичные;;1286
100000539;11-8-2017;0,733043981;Рубашка тип 5, Reebok;2;1846.572;безналичные;ФИО 647;1068
100000539;11-8-2017;0,733043981;Футболка тип 5, Reebok;1;700.91;безналичные;ФИО 647;323
100000542;9-20-2016;0,710150463;Футболка тип 7, Adidas;1;334.9352;безналичные;ФИО 800;167
100000555;8-15-2017;0,821956019;Штаны тип 11, Nike;1;893.316;наличные;;453
100000555;8-15-2017;0,821956019;Футболка тип 4, Puma;1;297.344;наличные;;184
100000555;8-15-2017;0,821956019;Колготки тип 2, Puma;1;427.648;наличные;;257
100000555;8-15-2017;0,821956019;Шапка тип 3, Adidas;2;462;наличные;;220
100000566;6-23-2017;0,472326389;Рубашка тип 3, Reebok;1;516.6;наличные;ФИО 967;246
100000566;6-23-2017;0,472326389;Запонка тип 5, Nike;1;949.648;наличные;ФИО 967;427
100000566;6-23-2017;0,472326389;Мячик тип 1, Reebok;1;89.053;наличные;ФИО 967;43
100000646;4-20-2018;0,716597222;Шапка тип 2, Adidas;1;250.92;наличные;;136
100000646;4-20-2018;0,716597222;Майка тип 1, Puma;1;420.784;наличные;;238
100000646;4-20-2018;0,716597222;Шапка тип 8, Nike;1;541.158;наличные;;282
100000650;7-11-2017;0,628541667;Штаны тип 5, Puma;1;2105.008;наличные;ФИО 1128;1207
100000650;7-11-2017;0,628541667;Сапоги тип 4, Reebok;1;7161.1;наличные;ФИО 1128;3769
100000650;7-11-2017;0,628541667;Майка тип 4, Adidas;1;217.21;наличные;ФИО 1128;107
100000651;10-30-2017;0,515740741;Кепка тип 2, Nike;1;541.66;безналичные;;265
100000651;10-30-2017;0,515740741;Туфли тип 1, Nike;1;3176.892;безналичные;;1611
100000657;4-19-2016;0,504652778;Кроссовки тип 6, Puma;1;2577.472;наличные;;1564
100000689;5-23-2017;0,738043981;Ремень тип 2, Reebok;1;440.99;наличные;;209
100000689;5-23-2017;0,738043981;Колготки тип 4, Adidas;1;688.2;наличные;;370
100000689;5-23-2017;0,738043981;Рубашка тип 11, Adidas;2;1202.8;наличные;;620
100000709;7-25-2018;0,396145833;Сапоги тип 1, Nike;1;6055.728;наличные;ФИО 770;2814
100000716;3-9-2016;0,787951389;Кепка тип 3, Puma;1;479.864;наличные;;287
100000724;7-28-2016;0,726053241;Рубашка тип 1, Nike;1;1445.6664;наличные;ФИО 1173;837
100000724;7-28-2016;0,726053241;Штаны тип 6, Puma;1;1241.952;наличные;ФИО 1173;761
100000724;7-28-2016;0,726053241;Рубашка тип 11, Reebok;2;2785.1824;наличные;ФИО 1173;1628
100000740;11-11-2016;0,491423611;Кроссовки тип 5, Puma;2;2238.352;наличные;ФИО 838;1406
100000758;7-6-2017;0,752453704;Кроссовки тип 1, Puma;1;2891.328;наличные;;1628
100000759;5-30-2017;0,606030093;Запонка тип 4, Reebok;1;821.24;безналичные;;419
100000760;8-13-2017;0,600532407;Футболка тип 2, Adidas;1;429.1056;безналичные;;258
100000760;8-13-2017;0,600532407;Штаны тип 10, Reebok;1;343.44;безналичные;;162
100000760;8-13-2017;0,600532407;Колготки тип 1, Reebok;1;299.2626;безналичные;;182
100000760;8-13-2017;0,600532407;Сапоги тип 3, Nike;1;7087.68;безналичные;;3312
100000767;9-12-2016;0,429976852;Колготки тип 1, Adidas;1;787.5;наличные;;375
100000767;9-12-2016;0,429976852;Колготки тип 5, Reebok;1;204.795;наличные;;111
100000767;9-12-2016;0,429976852;Футболка тип 6, Nike;1;761.2;наличные;;346
100000770;5-11-2017;0,386828704;Кроссовки тип 1, Puma;2;5782.656;наличные;;3256
100000770;5-11-2017;0,386828704;Ремень тип 3, Reebok;1;714.42;наличные;;378
100000771;4-9-2018;0,544189815;Футболка тип 1, Adidas;1;459.9;наличные;ФИО 1024;219
100000776;10-13-2016;0,427037037;Рубашка тип 8, Reebok;1;1187.93;наличные;;563
100000787;1-30-2017;0,710439815;Шапка тип 2, Nike;1;546.448;безналичные;ФИО 318;238
100000815;6-29-2017;0,583761574;Футболка тип 3, Puma;1;616.176;наличные;;389
100000828;3-10-2016;0,669872685;Шапка тип 8, Reebok;1;409.64;безналичные;;209
100000836;7-23-2017;0,754953704;Шлёпки тип 1, Puma;1;247.6656;безналичные;;189
100000850;12-6-2016;0,812071759;Рубашка тип 2, Puma;2;1707.264;безналичные;;988
100000850;12-6-2016;0,812071759;Колготки тип 6, Adidas;2;1396.8;безналичные;;776
100000850;12-6-2016;0,812071759;Колготки тип 4, Adidas;1;688.2;безналичные;;370
100000850;12-6-2016;0,812071759;Рубашка тип 6, Nike;1;1552.824;безналичные;;702
100000877;10-22-2016;0,411805556;Штаны тип 2, Reebok;1;325.4253;наличные;ФИО 796;159
100000887;10-7-2016;0,670543981;Штаны тип 7, Adidas;1;1706.5152;наличные;;954
100000887;10-7-2016;0,670543981;Кроссовки тип 1, Reebok;1;1922.778;наличные;;1053
100000888;2-23-2016;0,607534722;Футболка тип 7, Puma;1;201.552;наличные;;114
100000902;7-2-2016;0,581724537;Штаны тип 5, Adidas;1;855.6856;наличные;;479
100000902;7-2-2016;0,581724537;Рубашка тип 7, Nike;2;3293.12;наличные;;1640
100000902;7-2-2016;0,581724537;Запонка тип 6, Puma;1;365.72;наличные;;205
100000905;8-14-2016;0,693217593;Футболка тип 2, Adidas;1;510.84;наличные;;258
100000911;2-17-2016;0,458553241;Кепка тип 3, Puma;1;479.864;безналичные;;287
100000914;4-24-2018;0,675011574;Футболка тип 5, Reebok;1;700.91;безналичные;ФИО 999;323
100000914;4-24-2018;0,675011574;Рубашка тип 2, Adidas;2;2014.8;безналичные;ФИО 999;920
100000914;4-24-2018;0,675011574;Штаны тип 9, Adidas;1;428.45;безналичные;ФИО 999;205
100000914;4-24-2018;0,675011574;Штаны тип 7, Puma;2;964.464;безналичные;ФИО 999;566
100000914;4-24-2018;0,675011574;Рубашка тип 1, Puma;1;1426.128;безналичные;ФИО 999;814
100000914;4-24-2018;0,675011574;Штаны тип 7, Adidas;1;1666.8288;безналичные;ФИО 999;954
100000935;2-10-2016;0,437025463;Кроссовки тип 6, Adidas;1;2545.92;наличные;;1224
100000935;2-10-2016;0,437025463;Рубашка тип 10, Puma;2;813.13824;наличные;;566
100000935;2-10-2016;0,437025463;Сапоги тип 5, Adidas;1;2860.29;наличные;;1563
100000943;4-29-2017;0,783865741;Шапка тип 1, Adidas;1;225.09;безналичные;ФИО 1018;123
100000959;9-19-2018;0,789409722;Штаны тип 8, Puma;1;759.632;безналичные;;482
100000959;9-19-2018;0,789409722;Рубашка тип 7, Reebok;1;1310.26;безналичные;;686
100000959;9-19-2018;0,789409722;Штаны тип 12, Reebok;2;1085.64;безналичные;;498
100000959;9-19-2018;0,789409722;Запонка тип 6, Puma;1;365.72;безналичные;;205
100000959;9-19-2018;0,789409722;Рубашка тип 4, Adidas;1;358.98;безналичные;;186
100000970;1-29-2016;0,720324074;Футболка тип 7, Adidas;1;316.7322;безналичные;ФИО 746;167
100000970;1-29-2016;0,720324074;Туфли тип 4, Puma;1;3041.776;безналичные;ФИО 746;1802
100000996;7-11-2018;0,451458333;Штаны тип 8, Nike;1;1297.51576;наличные;;743
100000996;7-11-2018;0,451458333;Рубашка тип 6, Reebok;1;699.6;наличные;;330
100001015;7-4-2017;0,672916667;Запонка тип 5, Puma;1;225.792;безналичные;ФИО 878;140
100001057;5-11-2018;0,712604167;Шапка тип 3, Nike;1;648.448;безналичные;;298
100001057;5-11-2018;0,712604167;Колготки тип 6, Adidas;1;698.4;безналичные;;388
100001058;11-7-2017;0,480497685;Рубашка тип 5, Reebok;1;971.88;безналичные;;534
100001058;11-7-2017;0,480497685;Кроссовки тип 4, Adidas;1;1436.3943;безналичные;;739
100001083;8-5-2017;0,398946759;Кроссовки тип 6, Reebok;1;1770.264;наличные;;1069
100001102;5-26-2018;0,825833333;Колготки тип 1, Puma;1;215.496;наличные;;123
100001102;5-26-2018;0,825833333;Рубашка тип 3, Reebok;1;516.6;наличные;;246
100001111;5-26-2016;0,513298611;Шапка тип 6, Adidas;1;487.6;наличные;;265
100001111;5-26-2016;0,513298611;Рубашка тип 4, Puma;1;888.88;наличные;;542
100001114;8-17-2017;0,58212963;Туфли тип 3, Puma;1;5261.256;наличные;ФИО 1255;3003
100001114;8-17-2017;0,58212963;Кепка тип 3, Reebok;1;287.1687;наличные;ФИО 1255;157
100001114;8-17-2017;0,58212963;Майка тип 1, Puma;1;420.784;наличные;ФИО 1255;238
100001125;4-28-2016;0,636875;Шапка тип 8, Puma;2;1039.36;безналичные;ФИО 338;580
100001125;4-28-2016;0,636875;Шапка тип 2, Puma;1;334.5408;безналичные;ФИО 338;220
100001125;4-28-2016;0,636875;Сапоги тип 3, Adidas;2;12715.76;безналичные;ФИО 338;5998
100001125;4-28-2016;0,636875;Колготки тип 3, Puma;1;606.464;безналичные;ФИО 338;368
100001127;5-10-2018;0,707824074;Майка тип 2, Puma;1;624;безналичные;ФИО 966;390
100001156;5-24-2017;0,815486111;Рубашка тип 3, Nike;1;1737.236;наличные;ФИО 836;821
100001178;8-4-2016;0,626516204;Футболка тип 7, Reebok;1;538.1376;безналичные;;286
100001185;5-4-2017;0,760659722;Штаны тип 7, Reebok;1;1398.813;безналичные;ФИО 1027;806
100001191;12-2-2016;0,819340278;Колготки тип 4, Adidas;1;688.2;наличные;;370
100001191;12-2-2016;0,819340278;Штаны тип 10, Adidas;1;1264.4;наличные;;580
100001226;4-20-2018;0,581296296;Футболка тип 4, Nike;1;594.336;наличные;;246
100001226;4-20-2018;0,581296296;Кроссовки тип 5, Reebok;1;2250.24;наличные;;1172
100001226;4-20-2018;0,581296296;Шапка тип 5, Adidas;1;322.74;наличные;;163
100001231;8-25-2017;0,447986111;Рубашка тип 7, Puma;2;1744.36416;наличные;;1288
100001234;5-25-2018;0,74724537;Майка тип 2, Nike;2;1869.56;наличные;;770
100001241;3-20-2018;0,413310185;Рубашка тип 9, Adidas;1;1818.46;наличные;;838
100001246;3-11-2016;0,752939815;Туфли тип 3, Puma;1;5261.256;наличные;;3003
100001247;1-24-2016;0,638946759;Кепка тип 1, Adidas;1;298.76;наличные;;175
100001247;1-24-2016;0,638946759;Рубашка тип 8, Nike;1;1172.888;наличные;;542
100001247;1-24-2016;0,638946759;Штаны тип 5, Reebok;1;1972.846;наличные;;1076
100001286;7-17-2016;0,843900463;Ремень тип 4, Adidas;1;350.416;наличные;;181
100001286;7-17-2016;0,843900463;Сапоги тип 6, Puma;1;2144.936;наличные;;1361
100001289;5-3-2017;0,42869213;Рубашка тип 8, Puma;2;864.864;наличные;;528
100001289;5-3-2017;0,42869213;Шапка тип 4, Nike;2;1147.344;наличные;;492
100001289;5-3-2017;0,42869213;Сапоги тип 1, Adidas;1;7293.79;наличные;;3593
100001289;5-3-2017;0,42869213;Футболка тип 7, Adidas;1;364.06;наличные;;167
100001289;5-3-2017;0,42869213;Рубашка тип 12, Adidas;1;820.8;наличные;;456
100001295;5-14-2017;0,606990741;Шапка тип 1, Nike;1;464.112;наличные;;198
100001314;5-23-2018;0,50474537;Шлёпки тип 1, Adidas;1;391.95;наличные;;195
100001318;11-2-2017;0,843159722;Футболка тип 3, Reebok;1;440.7;безналичные;;226
100001318;11-2-2017;0,843159722;Шлёпки тип 3, Adidas;1;267.4361;безналичные;;151
100001330;11-5-2016;0,577222222;Туфли тип 3, Nike;1;5386.79808;безналичные;ФИО 564;3352
100001330;11-5-2016;0,577222222;Футболка тип 4, Reebok;2;587.424;безналичные;ФИО 564;348
100001330;11-5-2016;0,577222222;Запонка тип 7, Reebok;1;512.64;безналичные;ФИО 564;267
100001330;11-5-2016;0,577222222;Шлёпки тип 2, Puma;1;280.3328;безналичные;ФИО 564;181
100001330;11-5-2016;0,577222222;Сапоги тип 6, Puma;1;2144.936;безналичные;ФИО 564;1361
100001330;11-5-2016;0,577222222;Колготки тип 1, Reebok;1;343.98;безналичные;ФИО 564;182
100001334;10-14-2017;0,432604167;Рубашка тип 1, Adidas;1;914.82;безналичные;ФИО 809;474
100001348;12-11-2017;0,752731481;Ремень тип 1, Nike;1;274.912;безналичные;;121
100001363;3-20-2017;0,522835648;Кроссовки тип 4, Reebok;1;2941.68;наличные;;1700
100001363;3-20-2017;0,522835648;Рубашка тип 9, Reebok;1;546;наличные;;273
100001367;4-6-2016;0,537835648;Колготки тип 1, Puma;1;215.496;безналичные;;123
100001367;4-6-2016;0,537835648;Штаны тип 3, Reebok;1;1850.97;безналичные;;869
100001367;4-6-2016;0,537835648;Колготки тип 5, Adidas;1;736.32;безналичные;;354
100001384;1-6-2017;0,417708333;Шапка тип 6, Adidas;2;975.2;наличные;ФИО 997;530
100001384;1-6-2017;0,417708333;Запонка тип 7, Reebok;1;512.64;наличные;ФИО 997;267
100001384;1-6-2017;0,417708333;Шапка тип 6, Puma;1;391.56;наличные;ФИО 997;251
100001386;4-29-2018;0,81556713;Кепка тип 2, Adidas;2;1261.44;наличные;;584
100001387;8-8-2016;0,787303241;Штаны тип 11, Nike;1;866.51652;безналичные;;453
100001387;8-8-2016;0,787303241;Шапка тип 8, Adidas;1;326.8;безналичные;;152
100001390;1-24-2016;0,535439815;Сапоги тип 1, Adidas;1;7293.79;безналичные;;3593
100001400;11-30-2016;0,657314815;Рубашка тип 12, Reebok;1;1110.8769;наличные;;629
100001400;11-30-2016;0,657314815;Туфли тип 2, Puma;1;3234.944;наличные;;2032
100001400;11-30-2016;0,657314815;Шапка тип 8, Reebok;1;409.64;наличные;;209
100001400;11-30-2016;0,657314815;Шапка тип 6, Reebok;1;203.3;наличные;;107
100001411;12-13-2016;0,729340278;Майка тип 3, Reebok;1;504.171;безналичные;ФИО 164;263
100001429;7-24-2018;0,548483796;Штаны тип 11, Reebok;2;3633.68;наличные;;1714
100001429;7-24-2018;0,548483796;Шлёпки тип 3, Reebok;1;476.3286;наличные;;243
100001445;7-31-2016;0,611331019;Мячик тип 1, Reebok;1;93.74;безналичные;;43
100001445;7-31-2016;0,611331019;Сапоги тип 1, Adidas;2;14587.58;безналичные;;7186
100001445;7-31-2016;0,611331019;Рубашка тип 2, Puma;1;853.632;безналичные;;494
100001452;8-11-2017;0,376261574;Кепка тип 3, Puma;1;436.67624;наличные;ФИО 21;287
100001456;12-28-2017;0,519247685;Рубашка тип 3, Nike;1;1737.236;наличные;;821
100001469;3-10-2017;0,825034722;Футболка тип 3, Puma;1;616.176;наличные;;389
100001471;5-12-2018;0,796747685;Штаны тип 6, Adidas;1;1532;безналичные;;766
100001471;5-12-2018;0,796747685;Запонка тип 5, Puma;1;225.792;безналичные;;140
100001482;11-20-2017;0,583553241;Шлёпки тип 2, Adidas;1;698.92;наличные;ФИО 1237;346
100001497;6-16-2016;0,618402778;Запонка тип 6, Nike;1;615.048;наличные;;294
100001541;5-15-2017;0,601087963;Шапка тип 6, Puma;1;391.56;наличные;;251
100001549;2-13-2016;0,431666667;Рубашка тип 7, Reebok;1;1310.26;безналичные;ФИО 1037;686
100001549;2-13-2016;0,431666667;Колготки тип 7, Adidas;1;797.04;безналичные;ФИО 1037;369
100001564;2-14-2016;0,389791667;Футболка тип 5, Nike;1;488.824;наличные;;245
100001576;1-22-2018;0,820462963;Футболка тип 3, Nike;1;492.2;наличные;ФИО 406;230
100001576;1-22-2018;0,820462963;Штаны тип 2, Nike;1;1406.532;наличные;ФИО 406;597
100001576;1-22-2018;0,820462963;Запонка тип 5, Puma;1;250.88;наличные;ФИО 406;140
100001580;3-12-2016;0,587349537;Майка тип 1, Reebok;1;187.308;наличные;ФИО 1137;88
100001580;3-12-2016;0,587349537;Туфли тип 2, Puma;1;3234.944;наличные;ФИО 1137;2032
100001581;7-16-2016;0,458171296;Шлёпки тип 3, Adidas;1;285.4655;наличные;;151
100001589;6-3-2017;0,441018519;Шлёпки тип 3, Reebok;1;476.3286;наличные;ФИО 1007;243
100001612;3-15-2018;0,416909722;Футболка тип 7, Reebok;1;549.12;наличные;;286
100001616;10-25-2017;0,854513889;Сапоги тип 1, Reebok;1;4672.005;наличные;ФИО 248;2535
100001616;10-25-2017;0,854513889;Штаны тип 9, Reebok;2;997.3824;наличные;ФИО 248;672
100001629;1-11-2016;0,501006944;Шлёпки тип 2, Puma;1;318.56;наличные;;181
100001629;1-11-2016;0,501006944;Шлёпки тип 2, Reebok;2;796.79;наличные;;436
100001629;1-11-2016;0,501006944;Шлёпки тип 1, Adidas;1;391.95;наличные;;195
