№ чека;Дата;Время;Товар;Кол-во;Сумма;Способ платежа (нал / безнал);Покупатель;Себестоимость закупки
100000105;2-16-2018;0,491886574;Штаны тип 2, Nike;1;1406.532;наличные;;597
100000110;3-3-2018;0,503796296;Кроссовки тип 3, Adidas;1;3241.26;наличные;;1637
100000110;3-3-2018;0,503796296;Рубашка тип 5, Adidas;1;1433.36;наличные;;779
100000110;3-3-2018;0,503796296;Колготки тип 2, Adidas;1;107.52;наличные;;56
100000110;3-3-2018;0,503796296;Колготки тип 3, Nike;1;436.244;наличные;;191
100000110;3-3-2018;0,503796296;Штаны тип 8, Nike;1;1563.272;наличные;;743
100000115;5-22-2016;0,5721875;Рубашка тип 5, Nike;1;911.744;безналичные;;419
100000115;5-22-2016;0,5721875;Шапка тип 6, Reebok;2;406.6;безналичные;;214
100000119;12-27-2016;0,861469907;Колготки тип 1, Reebok;1;343.98;безналичные;;182
100000119;12-27-2016;0,861469907;Запонка тип 1, Reebok;1;767.97;безналичные;;371
100000134;9-22-2017;0,415671296;Штаны тип 3, Adidas;1;2170.94;безналичные;ФИО 1051;1102
100000146;12-26-2017;0,500219907;Мячик тип 2, Adidas;1;94.5;наличные;;45
100000146;12-26-2017;0,500219907;Кроссовки тип 3, Puma;1;2559.3732;наличные;;1965
100000146;12-26-2017;0,500219907;Шапка тип 8, Adidas;1;261.44;наличные;;152
100000146;12-26-2017;0,500219907;Рубашка тип 6, Nike;1;1552.824;наличные;;702
100000146;12-26-2017;0,500219907;Колготки тип 2, Puma;1;393.43616;наличные;;257
100000149;8-10-2018;0,415439815;Мячик тип 2, Reebok;1;100.11;наличные;;47
100000149;8-10-2018;0,415439815;Кепка тип 1, Adidas;1;285.18;наличные;;175
100000155;11-20-2017;0,69650463;Туфли тип 4, Adidas;1;3582.78;безналичные;;1698
100000194;12-6-2016;0,800578704;Запонка тип 2, Reebok;1;432;безналичные;;200
100000194;12-6-2016;0,800578704;Ремень тип 2, Nike;1;536.8;безналичные;;220
100000194;12-6-2016;0,800578704;Запонка тип 6, Puma;1;365.72;безналичные;;205
100000221;7-26-2017;0,562534722;Шапка тип 6, Nike;1;510.024;наличные;;237
100000223;8-3-2018;0,461701389;Штаны тип 4, Puma;1;1258.22128;наличные;ФИО 280;919
100000224;7-28-2017;0,609872685;Мячик тип 1, Adidas;2;120.9;безналичные;ФИО 823;62
100000224;7-28-2017;0,609872685;Запонка тип 3, Puma;1;629.4912;безналичные;ФИО 823;390
100000224;7-28-2017;0,609872685;Футболка тип 1, Adidas;2;919.8;безналичные;ФИО 823;438
100000228;3-6-2017;0,747986111;Кепка тип 2, Adidas;1;630.72;безналичные;;292
100000228;3-6-2017;0,747986111;Рубашка тип 2, Reebok;2;986.832;безналичные;;504
100000255;3-30-2016;0,825740741;Туфли тип 2, Puma;1;3234.944;наличные;;2032
100000259;2-27-2016;0,379282407;Штаны тип 3, Adidas;1;2170.94;наличные;;1102
100000280;7-28-2016;0,44306713;Шапка тип 5, Puma;1;234.08;наличные;;140
100000280;7-28-2016;0,44306713;Сапоги тип 3, Puma;2;9848.832;наличные;;5496
100000280;7-28-2016;0,44306713;Футболка тип 2, Adidas;1;510.84;наличные;;258
100000284;5-4-2016;0,69962963;Колготки тип 6, Reebok;1;691.6;безналичные;;380
100000284;5-4-2016;0,69962963;Запонка тип 3, Puma;1;551.616;безналичные;;390
100000284;5-4-2016;0,69962963;Запонка тип 5, Nike;1;949.648;безналичные;;427
100000284;5-4-2016;0,69962963;Штаны тип 2, Nike;1;1406.532;безналичные;;597
100000284;5-4-2016;0,69962963;Рубашка тип 9, Puma;1;669.8;безналичные;;425
100000286;2-8-2016;0,643518519;Запонка тип 6, Reebok;1;347.1468;безналичные;ФИО 904;221
100000286;2-8-2016;0,643518519;Футболка тип 6, Nike;1;761.2;безналичные;ФИО 904;346
100000286;2-8-2016;0,643518519;Рубашка тип 2, Nike;1;1951.232;безналичные;ФИО 904;824
100000292;5-25-2016;0,732384259;Туфли тип 1, Puma;1;3787.08;наличные;;2265
100000294;3-29-2017;0,663090278;Штаны тип 8, Adidas;2;4254.12;наличные;;2106
100000294;3-29-2017;0,663090278;Запонка тип 1, Puma;1;227.88;наличные;;135
100000294;3-29-2017;0,663090278;Рубашка тип 4, Nike;1;2053.344;наличные;;876
100000314;9-20-2016;0,672546296;Футболка тип 5, Nike;2;1136.8;наличные;;490
100000314;9-20-2016;0,672546296;Колготки тип 3, Puma;1;606.464;наличные;;368
100000326;9-1-2018;0,571863426;Рубашка тип 3, Adidas;1;605.6532;безналичные;ФИО 943;372
100000326;9-1-2018;0,571863426;Рубашка тип 10, Reebok;1;1125.72;безналичные;ФИО 943;531
100000360;9-29-2017;0,477106481;Ремень тип 2, Nike;1;515.328;безналичные;;220
100000367;6-15-2016;0,852210648;Рубашка тип 4, Reebok;1;1673.9;наличные;;881
100000367;6-15-2016;0,852210648;Рубашка тип 3, Puma;1;273.6;наличные;;152
100000412;3-25-2017;0,530532407;Запонка тип 7, Adidas;1;334.88;безналичные;ФИО 140;184
100000416;3-16-2018;0,818472222;Кепка тип 3, Nike;1;357.06;наличные;;165
100000419;1-20-2017;0,539803241;Колготки тип 3, Nike;1;436.244;безналичные;ФИО 579;191
100000443;7-26-2018;0,748831019;Штаны тип 4, Adidas;1;1098.39;безналичные;;705
100000445;1-13-2018;0,843206019;Ремень тип 2, Adidas;1;309.6525;наличные;;159
100000448;10-4-2016;0,714212963;Штаны тип 8, Adidas;2;4254.12;безналичные;;2106
100000448;10-4-2016;0,714212963;Запонка тип 4, Nike;1;386.12;безналичные;;197
100000502;7-31-2017;0,788773148;Рубашка тип 3, Adidas;2;1495.44;наличные;;744
100000508;3-25-2016;0,56712963;Майка тип 4, Puma;1;234.752;наличные;ФИО 622;131
100000526;9-4-2016;0,417488426;Штаны тип 6, Puma;1;1241.952;наличные;;761
100000535;4-23-2018;0,807951389;Штаны тип 12, Reebok;1;542.82;наличные;;249
100000559;4-24-2017;0,474710648;Запонка тип 1, Reebok;1;714.2121;наличные;ФИО 372;371
100000559;4-24-2017;0,474710648;Штаны тип 5, Nike;1;2028.288;наличные;ФИО 372;912
100000559;4-24-2017;0,474710648;Запонка тип 1, Adidas;2;990.0456;наличные;ФИО 372;524
100000564;2-4-2017;0,412326389;Колготки тип 5, Nike;1;506.984;безналичные;;254
100000564;2-4-2017;0,412326389;Рубашка тип 5, Adidas;1;1433.36;безналичные;;779
100000564;2-4-2017;0,412326389;Штаны тип 3, Puma;1;412.8;безналичные;;258
100000564;2-4-2017;0,412326389;Рубашка тип 11, Adidas;1;601.4;безналичные;;310
100000564;2-4-2017;0,412326389;Футболка тип 1, Reebok;1;297.2928;безналичные;;158
100000578;1-11-2018;0,746944444;Кроссовки тип 4, Reebok;1;2836.62;наличные;;1700
100000578;1-11-2018;0,746944444;Футболка тип 3, Puma;1;616.176;наличные;;389
100000601;12-1-2017;0,751365741;Колготки тип 7, Adidas;2;1370.9088;безналичные;;738
100000622;3-24-2017;0,422662037;Ремень тип 2, Puma;1;234.768;наличные;ФИО 1252;146
100000622;3-24-2017;0,422662037;Колготки тип 1, Nike;1;515.088;наличные;ФИО 1252;252
100000622;3-24-2017;0,422662037;Колготки тип 6, Adidas;1;698.4;наличные;ФИО 1252;388
100000622;3-24-2017;0,422662037;Кроссовки тип 6, Reebok;1;1809.6032;наличные;ФИО 1252;1069
100000622;3-24-2017;0,422662037;Туфли тип 4, Adidas;1;3582.78;наличные;ФИО 1252;1698
100000636;6-4-2017;0,727939815;Колготки тип 6, Adidas;1;698.4;безналичные;;388
100000642;2-8-2018;0,661828704;Запонка тип 6, Puma;1;354.7484;безналичные;;205
100000642;2-8-2018;0,661828704;Мячик тип 1, Nike;1;96.26496;безналичные;;48
100000642;2-8-2018;0,661828704;Кроссовки тип 5, Adidas;2;3144.3714;безналичные;;1566
100000642;2-8-2018;0,661828704;Колготки тип 3, Nike;2;872.488;безналичные;;382
100000642;2-8-2018;0,661828704;Штаны тип 6, Puma;1;1130.17632;безналичные;;761
100000660;1-23-2016;0,535532407;Рубашка тип 7, Nike;1;1383.1104;безналичные;;820
100000660;1-23-2016;0,535532407;Майка тип 3, Nike;1;535;безналичные;;250
100000660;1-23-2016;0,535532407;Штаны тип 7, Nike;2;5341.488;безналичные;;2598
100000660;1-23-2016;0,535532407;Кроссовки тип 4, Nike;1;1782.428;безналичные;;893
100000677;11-22-2016;0,609166667;Шапка тип 7, Puma;1;359.70912;наличные;;237
100000679;8-16-2018;0,631493056;Шапка тип 5, Nike;1;427.07584;безналичные;;229
100000679;8-16-2018;0,631493056;Футболка тип 5, Adidas;1;627.21;безналичные;;303
100000682;9-27-2016;0,741203704;Майка тип 1, Puma;1;420.784;наличные;;238
100000682;9-27-2016;0,741203704;Запонка тип 6, Reebok;1;413.27;наличные;;221
100000682;9-27-2016;0,741203704;Рубашка тип 9, Adidas;1;1818.46;наличные;;838
100000682;9-27-2016;0,741203704;Ремень тип 4, Adidas;2;756.58;наличные;;362
100000688;2-9-2017;0,732326389;Штаны тип 1, Nike;1;2275.036;наличные;;937
100000708;1-6-2018;0,415891204;Колготки тип 5, Puma;1;675.376;наличные;;382
100000711;6-17-2017;0,584791667;Запонка тип 6, Adidas;1;356.85;безналичные;;183
100000711;6-17-2017;0,584791667;Сапоги тип 4, Nike;1;6929.088;безналичные;;2868
100000711;6-17-2017;0,584791667;Футболка тип 4, Puma;1;297.344;безналичные;;184
100000721;3-7-2017;0,674872685;Шлёпки тип 3, Reebok;1;481.14;наличные;;243
100000727;1-13-2017;0,489803241;Шапка тип 5, Adidas;1;322.74;наличные;;163
100000727;1-13-2017;0,489803241;Футболка тип 5, Nike;2;1068.592;наличные;;490
100000746;1-14-2016;0,381527778;Шапка тип 5, Adidas;1;322.74;безналичные;;163
100000746;1-14-2016;0,381527778;Кроссовки тип 1, Nike;2;6628.20072;безналичные;;3774
100000746;1-14-2016;0,381527778;Штаны тип 9, Adidas;1;428.45;безналичные;;205
100000762;6-3-2018;0,597199074;Рубашка тип 3, Puma;2;547.2;наличные;;304
100000762;6-3-2018;0,597199074;Кепка тип 3, Reebok;1;277.7016;наличные;;157
100000762;6-3-2018;0,597199074;Кроссовки тип 1, Reebok;1;2316.6;наличные;;1053
100000768;10-20-2017;0,460601852;Футболка тип 4, Reebok;1;367.14;наличные;;174
100000768;10-20-2017;0,460601852;Штаны тип 11, Nike;1;893.316;наличные;;453
100000775;1-3-2018;0,5940625;Шлёпки тип 1, Adidas;1;391.95;безналичные;;195
100000775;1-3-2018;0,5940625;Запонка тип 5, Nike;1;902.1656;безналичные;;427
100000775;1-3-2018;0,5940625;Футболка тип 2, Adidas;1;510.84;безналичные;;258
100000775;1-3-2018;0,5940625;Сапоги тип 2, Reebok;1;2607.95;безналичные;;1213
100000775;1-3-2018;0,5940625;Футболка тип 4, Adidas;1;290.88;безналичные;;144
100000775;1-3-2018;0,5940625;Запонка тип 4, Adidas;1;1005.6214;безналичные;;493
100000775;1-3-2018;0,5940625;Футболка тип 2, Adidas;1;510.84;безналичные;;258
100000782;12-15-2017;0,747210648;Кроссовки тип 3, Puma;1;3159.72;наличные;;1965
100000782;12-15-2017;0,747210648;Шлёпки тип 3, Adidas;2;600.98;наличные;;302
100000782;12-15-2017;0,747210648;Футболка тип 7, Nike;1;869.584;наличные;;391
100000782;12-15-2017;0,747210648;Кроссовки тип 5, Reebok;1;2002.7136;наличные;;1172
100000794;2-25-2018;0,494733796;Запонка тип 3, Nike;1;735.644;наличные;;350
100000794;2-25-2018;0,494733796;Майка тип 2, Nike;1;934.78;наличные;;385
100000799;7-29-2017;0,404340278;Шлёпки тип 3, Nike;2;627.072;наличные;;276
100000817;8-17-2018;0,697025463;Колготки тип 1, Nike;2;1030.176;наличные;;504
100000817;8-17-2018;0,697025463;Шапка тип 3, Nike;1;551.1808;наличные;;298
100000817;8-17-2018;0,697025463;Майка тип 3, Puma;1;480.6;наличные;;267
100000818;12-19-2016;0,467511574;Шлёпки тип 2, Nike;1;770.24;наличные;;332
100000822;8-26-2017;0,653460648;Запонка тип 2, Nike;2;463.088;безналичные;ФИО 645;206
100000822;8-26-2017;0,653460648;Майка тип 3, Adidas;1;158.25;безналичные;ФИО 645;75
100000830;7-3-2017;0,502013889;Ремень тип 2, Nike;1;536.8;наличные;;220
100000844;7-22-2018;0,449467593;Рубашка тип 10, Adidas;2;893.8;наличные;;410
100000859;5-12-2017;0,59005787;Шапка тип 3, Reebok;1;454.1856;наличные;;253
100000881;4-27-2016;0,569768519;Штаны тип 6, Nike;2;4596.336;наличные;;2124
100000881;4-27-2016;0,569768519;Запонка тип 2, Nike;1;231.544;наличные;;103
100000881;4-27-2016;0,569768519;Мячик тип 2, Adidas;1;94.5;наличные;;45
100000881;4-27-2016;0,569768519;Штаны тип 10, Puma;1;1870.2;наличные;;1039
100000904;7-9-2017;0,638900463;Штаны тип 1, Puma;1;722.304;наличные;;418
100000927;3-26-2016;0,63369213;Туфли тип 4, Puma;1;3041.776;безналичные;;1802
100000937;4-30-2016;0,697893519;Футболка тип 5, Puma;1;233.09744;наличные;;139
100000937;4-30-2016;0,697893519;Кроссовки тип 5, Adidas;1;1620.81;наличные;;783
100000937;4-30-2016;0,697893519;Футболка тип 1, Adidas;1;409.311;наличные;;219
100000945;2-7-2017;0,728541667;Туфли тип 4, Nike;1;5776.12;безналичные;;2947
100000947;1-13-2017;0,7478125;Рубашка тип 12, Reebok;1;1021.496;безналичные;;629
100000947;1-13-2017;0,7478125;Штаны тип 9, Reebok;1;608.16;безналичные;;336
100000954;3-5-2017;0,80400463;Сапоги тип 6, Adidas;1;5889.38;наличные;;2714
100000954;3-5-2017;0,80400463;Футболка тип 5, Adidas;1;627.21;наличные;;303
100000954;3-5-2017;0,80400463;Футболка тип 5, Puma;1;247.976;наличные;;139
100000997;4-20-2017;0,855011574;Шапка тип 6, Adidas;1;487.6;наличные;ФИО 1152;265
100000997;4-20-2017;0,855011574;Рубашка тип 10, Reebok;2;2251.44;наличные;ФИО 1152;1062
100000997;4-20-2017;0,855011574;Запонка тип 6, Puma;2;731.44;наличные;ФИО 1152;410
100000997;4-20-2017;0,855011574;Кепка тип 2, Puma;1;286.3224;наличные;ФИО 1152;190
100000997;4-20-2017;0,855011574;Рубашка тип 7, Puma;1;1076.768;наличные;ФИО 1152;644
100001009;8-24-2018;0,460706019;Шлёпки тип 3, Adidas;1;279.4557;наличные;ФИО 778;151
100001009;8-24-2018;0,460706019;Майка тип 1, Nike;1;298.4608;наличные;ФИО 778;139
100001011;5-19-2018;0,605219907;Запонка тип 2, Reebok;1;432;безналичные;;200
100001013;4-29-2016;0,697789352;Ремень тип 2, Puma;1;192.50976;наличные;;146
100001019;2-16-2017;0,823946759;Туфли тип 2, Puma;1;2943.79904;наличные;ФИО 370;2032
100001019;2-16-2017;0,823946759;Футболка тип 3, Puma;1;616.176;наличные;ФИО 370;389
100001019;2-16-2017;0,823946759;Кроссовки тип 4, Adidas;1;1544.51;наличные;ФИО 370;739
100001019;2-16-2017;0,823946759;Колготки тип 1, Adidas;1;787.5;наличные;ФИО 370;375
100001019;2-16-2017;0,823946759;Майка тип 4, Reebok;1;271.6;наличные;ФИО 370;140
100001021;11-29-2017;0,567708333;Колготки тип 6, Reebok;1;684.684;наличные;;380
100001036;5-15-2016;0,395694444;Майка тип 2, Puma;1;511.68;наличные;;390
100001044;1-2-2016;0,591990741;Туфли тип 2, Reebok;1;4327.96;безналичные;;2378
100001044;1-2-2016;0,591990741;Запонка тип 5, Puma;1;250.88;безналичные;;140
100001044;1-2-2016;0,591990741;Запонка тип 5, Nike;1;949.648;безналичные;;427
100001046;7-19-2017;0,729849537;Штаны тип 4, Nike;1;2360.408;безналичные;;1007
100001046;7-19-2017;0,729849537;Кроссовки тип 2, Reebok;1;1295.84;безналичные;;712
100001046;7-19-2017;0,729849537;Запонка тип 1, Adidas;1;526.62;безналичные;;262
100001046;7-19-2017;0,729849537;Кепка тип 1, Reebok;1;529.2;безналичные;;245
100001046;7-19-2017;0,729849537;Мячик тип 1, Adidas;2;120.9;безналичные;;62
100001046;7-19-2017;0,729849537;Футболка тип 1, Nike;2;904.4;безналичные;;380
100001046;7-19-2017;0,729849537;Штаны тип 9, Puma;1;858.28;безналичные;;499
100001053;3-6-2017;0,690150463;Рубашка тип 5, Adidas;1;1433.36;наличные;ФИО 778;779
100001065;6-29-2016;0,866423611;Футболка тип 5, Reebok;1;588.7644;безналичные;;323
100001065;6-29-2016;0,866423611;Туфли тип 4, Adidas;2;6234.0372;безналичные;;3396
100001065;6-29-2016;0,866423611;Запонка тип 5, Adidas;1;623.3976;безналичные;;342
100001065;6-29-2016;0,866423611;Футболка тип 1, Adidas;1;459.9;безналичные;;219
100001065;6-29-2016;0,866423611;Майка тип 1, Adidas;1;797.16;безналичные;;364
100001065;6-29-2016;0,866423611;Запонка тип 2, Puma;1;445.28;безналичные;;253
100001079;10-18-2017;0,509606481;Туфли тип 2, Nike;1;3792.536;безналичные;;1562
100001085;3-9-2017;0,439837963;Штаны тип 7, Puma;1;482.232;безналичные;ФИО 733;283
100001085;3-9-2017;0,439837963;Запонка тип 5, Puma;1;250.88;безналичные;ФИО 733;140
100001094;1-24-2018;0,658391204;Ремень тип 4, Reebok;1;392.1612;безналичные;;236
100001108;7-31-2017;0,481793981;Запонка тип 3, Nike;1;782.6;наличные;;350
100001108;7-31-2017;0,481793981;Рубашка тип 8, Puma;1;408.672;наличные;;264
100001108;7-31-2017;0,481793981;Туфли тип 2, Nike;1;3792.536;наличные;;1562
100001108;7-31-2017;0,481793981;Колготки тип 6, Nike;1;456.042;наличные;;255
100001108;7-31-2017;0,481793981;Футболка тип 3, Puma;1;616.176;наличные;;389
100001113;2-7-2017;0,722337963;Шапка тип 6, Puma;1;348.4884;безналичные;;251
100001124;7-28-2017;0,84224537;Футболка тип 3, Nike;1;492.2;наличные;;230
100001124;7-28-2017;0,84224537;Сапоги тип 3, Adidas;2;12715.76;наличные;;5998
100001139;9-6-2016;0,520659722;Колготки тип 4, Nike;2;579.576;наличные;;246
100001146;12-20-2017;0,850034722;Футболка тип 2, Puma;1;297.92;наличные;;200
100001149;7-16-2017;0,415833333;Шапка тип 2, Adidas;1;278.8;наличные;ФИО 1011;136
100001150;6-10-2016;0,632210648;Штаны тип 6, Puma;1;1241.952;наличные;;761
100001171;5-16-2017;0,650717593;Майка тип 4, Adidas;1;217.21;наличные;;107
100001171;5-16-2017;0,650717593;Колготки тип 4, Reebok;2;1342.881;наличные;;786
100001171;5-16-2017;0,650717593;Штаны тип 5, Puma;1;2062.90784;наличные;;1207
100001171;5-16-2017;0,650717593;Рубашка тип 2, Reebok;1;554.4;наличные;;252
100001184;9-14-2018;0,619571759;Штаны тип 11, Nike;1;893.316;наличные;;453
100001192;9-10-2018;0,826388889;Колготки тип 5, Reebok;1;227.55;наличные;;111
100001192;9-10-2018;0,826388889;Майка тип 4, Adidas;1;217.21;наличные;;107
100001213;12-19-2017;0,481574074;Туфли тип 3, Reebok;1;2500.2;безналичные;;1389
100001220;9-22-2016;0,678009259;Туфли тип 3, Nike;1;6650.368;наличные;;3352
100001220;9-22-2016;0,678009259;Кроссовки тип 3, Puma;1;3159.72;наличные;;1965
100001224;11-5-2017;0,559155093;Штаны тип 5, Reebok;1;2076.68;безналичные;;1076
100001239;6-2-2016;0,667824074;Кроссовки тип 2, Nike;1;3873.008;наличные;;1964
100001243;7-28-2017;0,732893519;Рубашка тип 11, Adidas;1;601.4;наличные;;310
100001243;7-28-2017;0,732893519;Запонка тип 6, Puma;1;365.72;наличные;;205
100001243;7-28-2017;0,732893519;Штаны тип 9, Adidas;1;381.3205;наличные;;205
100001282;1-25-2017;0,619965278;Кроссовки тип 4, Nike;2;3422.26176;безналичные;;1786
100001282;1-25-2017;0,619965278;Штаны тип 4, Nike;1;2360.408;безналичные;;1007
100001293;7-23-2018;0,822615741;Сапоги тип 3, Adidas;1;6357.88;безналичные;;2999
100001294;6-14-2017;0,589108796;Штаны тип 11, Reebok;1;1816.84;безналичные;;857
100001344;9-14-2017;0,768333333;Сапоги тип 1, Adidas;1;7074.9763;безналичные;;3593
100001351;7-15-2017;0,599791667;Шлёпки тип 1, Adidas;1;313.56;наличные;;195
100001351;7-15-2017;0,599791667;Запонка тип 5, Nike;2;1823.32416;наличные;;854
100001360;5-26-2017;0,682326389;Штаны тип 3, Reebok;1;1850.97;безналичные;;869
100001360;5-26-2017;0,682326389;Запонка тип 3, Adidas;1;325.0808;безналичные;;187
100001368;1-18-2018;0,39125;Шапка тип 7, Puma;1;363.57696;безналичные;;237
100001368;1-18-2018;0,39125;Футболка тип 6, Reebok;1;371.05;безналичные;;181
100001368;1-18-2018;0,39125;Рубашка тип 2, Adidas;1;1007.4;безналичные;;460
100001368;1-18-2018;0,39125;Рубашка тип 2, Adidas;2;2014.8;безналичные;;920
100001377;6-20-2017;0,794965278;Майка тип 3, Nike;1;535;безналичные;;250
100001388;1-20-2016;0,711261574;Рубашка тип 4, Reebok;2;3347.8;наличные;;1762
100001388;1-20-2016;0,711261574;Рубашка тип 10, Puma;1;495.816;наличные;;283
100001388;1-20-2016;0,711261574;Сапоги тип 1, Nike;1;6055.728;наличные;;2814
100001398;12-4-2017;0,659560185;Рубашка тип 2, Reebok;1;554.4;безналичные;;252
100001412;7-13-2016;0,617222222;Кепка тип 2, Nike;1;541.66;наличные;;265
100001428;5-3-2018;0,433993056;Сапоги тип 6, Nike;1;5533.412;безналичные;;2279
100001428;5-3-2018;0,433993056;Шлёпки тип 1, Nike;1;371.68;безналичные;;184
100001428;5-3-2018;0,433993056;Шапка тип 5, Adidas;1;322.74;безналичные;;163
100001428;5-3-2018;0,433993056;Футболка тип 2, Puma;1;313.6;безналичные;;200
100001436;8-8-2016;0,687002315;Мячик тип 1, Nike;1;111.936;безналичные;;48
100001439;7-19-2018;0,570983796;Колготки тип 4, Puma;1;297.024;наличные;;168
100001455;2-5-2016;0,771712963;Запонка тип 1, Adidas;1;526.62;безналичные;;262
100001455;2-5-2016;0,771712963;Шапка тип 1, Reebok;2;991.1;безналичные;;530
100001457;7-23-2018;0,817280093;Сапоги тип 5, Reebok;1;5673.87;наличные;ФИО 1021;2741
100001457;7-23-2018;0,817280093;Майка тип 4, Puma;1;208.92928;наличные;ФИО 1021;131
100001459;5-21-2017;0,867777778;Запонка тип 5, Nike;1;949.648;наличные;;427
100001459;5-21-2017;0,867777778;Запонка тип 4, Reebok;2;1642.48;наличные;;838
100001459;5-21-2017;0,867777778;Ремень тип 1, Nike;1;274.912;наличные;;121
100001459;5-21-2017;0,867777778;Шапка тип 2, Adidas;1;276.012;наличные;;136
100001485;5-9-2017;0,430474537;Колготки тип 2, Reebok;1;399.168;наличные;;210
100001485;5-9-2017;0,430474537;Штаны тип 7, Puma;1;482.232;наличные;;283
100001485;5-9-2017;0,430474537;Шапка тип 8, Reebok;2;712.7736;наличные;;418
100001485;5-9-2017;0,430474537;Сапоги тип 4, Puma;1;4763.872;наличные;;3631
100001496;11-16-2016;0,753275463;Шапка тип 8, Nike;1;569.64;безналичные;;282
100001496;11-16-2016;0,753275463;Штаны тип 2, Reebok;1;335.49;безналичные;;159
100001496;11-16-2016;0,753275463;Майка тип 2, Puma;2;1248;безналичные;;780
100001506;6-9-2016;0,647175926;Футболка тип 5, Adidas;1;614.6658;наличные;;303
100001511;5-18-2018;0,587731481;Майка тип 3, Adidas;2;316.5;наличные;;150
100001511;5-18-2018;0,587731481;Сапоги тип 1, Reebok;1;4917.9;наличные;;2535
100001511;5-18-2018;0,587731481;Сапоги тип 6, Nike;1;5533.412;наличные;;2279
100001511;5-18-2018;0,587731481;Туфли тип 1, Reebok;1;6119.12;наличные;;3122
100001514;2-19-2018;0,822199074;Рубашка тип 4, Reebok;1;1673.9;безналичные;;881
100001553;12-3-2016;0,763981481;Шапка тип 6, Reebok;1;203.3;наличные;ФИО 138;107
100001553;12-3-2016;0,763981481;Рубашка тип 2, Adidas;1;815.994;наличные;ФИО 138;460
100001569;10-30-2017;0,523738426;Рубашка тип 5, Nike;1;756.74752;наличные;;419
100001569;10-30-2017;0,523738426;Рубашка тип 9, Adidas;1;1782.0908;наличные;;838
100001570;6-8-2018;0,614444444;Футболка тип 2, Reebok;1;385.2;безналичные;;214
100001571;2-26-2016;0,420266204;Штаны тип 12, Puma;1;296.192;наличные;ФИО 567;178
100001571;2-26-2016;0,420266204;Сапоги тип 4, Puma;2;11619.2;наличные;ФИО 567;7262
100001575;1-16-2018;0,46212963;Кепка тип 3, Nike;1;339.207;безналичные;;165
100001575;1-16-2018;0,46212963;Рубашка тип 4, Nike;1;1868.54304;безналичные;;876
100001575;1-16-2018;0,46212963;Сапоги тип 4, Nike;1;6929.088;безналичные;;2868
100001575;1-16-2018;0,46212963;Шлёпки тип 1, Nike;1;371.68;безналичные;;184
100001575;1-16-2018;0,46212963;Колготки тип 2, Adidas;1;107.52;безналичные;;56
100001575;1-16-2018;0,46212963;Кроссовки тип 1, Reebok;1;2316.6;безналичные;;1053
